Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Flowering Plant,Papante,8.7,24.5,21.3,43200.0,70.0,30.0,0.35
Herbaceous plant,Pastel des teinturiers,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Flowering Plant,Pastel Sleeves,5.0,25.0,20.0,3000.0,70.0,20.0,0.3
Vegetable,Patisson Blanc,5.0,22.0,18.0,3000.0,70.0,20.0,0.25
Fruit,Pattison Orange,5.0,20.0,18.0,3000.0,60.0,50.0,0.2
Vegetable,Paul Robeson,3.0,22.0,18.0,6000.0,70.0,20.0,0.4
Vegetable,Peacevine,5.0,25.0,20.0,3000.0,70.0,20.0,0.5
Flower,Peach Blow Sutton,7.5,21.5,17.5,4500.0,50.0,75.0,0.4
Flowering Plant,Peasant,10.0,25.0,20.0,6000.0,60.0,50.0,0.4
Vegetable,Pepperoncini,5.0,25.0,20.0,6000.0,60.0,50.0,0.4
Perennial,Perestroika,10.0,22.0,18.0,28800.0,60.0,50.0,0.3
Flower,Persian Jewels Mix,5.0,25.0,20.0,60000.0,60.0,10.0,0.3
Fruit Tree,Persimmon,5.0,20.0,15.0,6000.0,60.0,20.0,0.4
Flowering Plant,Persuasion,10.0,22.0,18.0,6000.0,60.0,20.0,0.3
Vegetable,Peshawar,5.0,25.0,20.0,24000.0,60.0,20.0,0.3
Ornamental Plant,Petch Siam,8.2,28.5,26.3,3600.0,75.0,15.0,0.35
Fruit,Petit Gris de Rennes,5.0,15.0,18.0,18000.0,70.0,10.0,0.3
Flowering Plant,Petit Marseillais,5.0,18.0,20.0,3000.0,65.0,20.0,0.4
Herb,Petites Feuilles,5.0,24.0,20.0,6000.0,60.0,50.0,0.4
Leafy Vegetable,Petites Feuilles,5.0,20.0,18.0,18000.0,70.0,20.0,0.3
Flowering plant,Petits Becs,5.0,25.0,20.0,6000.0,60.0,20.0,0.4
Fruit,Petits Fruits,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Petros,Petros Seed,5.0,25.0,20.0,6000.0,70.0,30.0,0.3
Flowering Plant,Petrowski Early Round Yellow,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Piennolo del Vesuvio,3.0,18.0,16.0,3000.0,60.0,20.0,0.25
Fruit Plant,Pinard fraise,5.0,20.0,15.0,6000.0,70.0,20.0,0.3
Vegetable,Ping Tung,5.0,25.0,20.0,3600.0,70.0,20.0,0.3
Tomato,Pink Berkeley Tie Dye,5.0,25.0,20.0,36000.0,60.0,50.0,0.3
Flowering plant,Pink Furry Boar,5.0,22.0,18.0,6000.0,70.0,20.0,0.3
Flowering Plant,Pleine de Naples,5.0,26.0,24.0,7200.0,70.0,20.0,0.4
Flowering,Podland Pink,5.0,20.0,18.0,12000.0,60.0,50.0,0.3
Vegetable,Pointu de Chateaurenard,5.0,20.0,18.0,30000.0,60.0,10.0,0.3
Fruit,Poire Jaune,5.0,20.0,18.0,600.0,60.0,20.0,0.2
Vegetable,Potato,5.0,15.0,12.0,30000.0,70.0,20.0,0.2
Vegetable,Potimarron Red Kuri,3.5,20.0,12.5,2250.0,60.0,20.0,0.30000000000000004
Vegetable,Potimarron Solor,12.5,22.5,17.5,7000.0,65.0,25.0,0.25
Cucurbita,Potiron Bleu de Hongrie,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Vegetable,Potiron Vert Olive,5.0,22.0,18.0,6000.0,70.0,50.0,0.3
Vegetable,Precocibec,5.0,25.0,20.0,3600.0,60.0,20.0,0.4
Flowering Perennial,Pride of Wisconsin,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Flowering Plant,Prilep,5.0,25.0,20.0,3600.0,70.0,20.0,0.3
Flower,Primary Colors,5.0,25.0,20.0,6000.0,60.0,10.0,0.3
Tomato,Principe Borghese,4.0,24.0,20.0,36000.0,60.0,20.0,0.3
Fruit,Prune Noire,5.0,25.0,20.0,6000.0,60.0,20.0,0.2
Fruit Tree,Prune Rouge,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Flowering Plant,Purple Ball,5.0,25.0,20.0,6000.0,60.0,20.0,0.5
Flowering Plant,Purple Cape,4.9,25.6,22.3,28800.0,65.0,30.0,0.25
Herb,Purple Dark Opal,5.0,22.0,18.0,3600.0,60.0,15.0,0.4
Vegetable,Purple de milpa,5.6,27.5,25.2,43200.0,75.0,50.0,0.28
Vegetable,Purple Russian,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Flowering plant,Queen of Sheba,5.0,20.0,25.0,600.0,60.0,20.0,0.3
Flowering Plant,Quetzali,10.0,25.0,20.0,6000.0,70.0,50.0,0.3
Flowering Plant,Queue de Renard Blanche,5.0,20.0,18.0,36000.0,60.0,10.0,0.3
Fruit,Raisin Vert,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Flowering Plant,Rave de Margeride,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Perennial,Rave de Treignac,5.0,15.0,10.0,6000.0,70.0,10.0,0.25
Vegetable,Red Brandywine,5.0,18.0,15.0,6000.0,60.0,50.0,0.3
Flowering Plant,Red Bull,5.0,22.0,18.0,36000.0,60.0,50.0,0.3
Ornamental Plant,Red Burgundy,5.0,22.0,18.0,3000.0,60.0,15.0,0.3
Fruit Plant,Red Centiflor Cherry,5.0,25.0,20.0,6000.0,60.0,30.0,0.3
Tree,Red Cluster Pear Hypertress,8.7,22.5,18.3,28800.0,65.0,50.0,0.25
Fruit Plant,Red Fig,5.0,25.0,20.0,5000.0,60.0,20.0,0.3
Shrub,Red Robin,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Flowering Plant,Red Scarlet,10.0,25.0,20.0,5000.0,60.0,50.0,0.4
Perennial,Red Siberian,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Ornamental Plant,Red Spider,5.0,20.0,15.0,36000.0,60.0,50.0,0.3
Flowering Plant,Red Ursa,10.0,25.0,20.0,6000.0,70.0,50.0,0.3
Vegetable,Red Warty Thing,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Tomato,Red Zebra,5.0,22.0,15.0,3600.0,70.0,20.0,0.3
Flowering Plant,Redcrest,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Flowering plant,Reif Red,5.0,25.0,20.0,6000.0,60.0,30.0,0.3
Vegetable,Relleno Rouge,5.0,25.0,20.0,3000.0,70.0,50.0,0.3
 ,reux,10.0,25.0,20.0,3000.0,60.0,30.0,0.3
Ornamental plant,Rheinau Gold,5.0,25.0,20.0,600.0,60.0,20.0,0.3
Ornamental Plant,Ring of Fire,5.0,25.0,20.0,600.0,60.0,20.0,0.3
Flowering Plant,Rio Grande,5.0,25.0,20.0,3000.0,60.0,50.0,0.4
Fruit,Rocky Ford Green Flesh,5.0,25.0,20.0,18000.0,60.0,20.0,0.3
Flowering Plant,Roi Humbert,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Roma Paste,5.0,25.0,20.0,3000.0,60.0,50.0,0.3
Flower,Roman Candle,5.0,23.0,18.0,6000.0,50.0,20.0,0.3
Vegetable,Ronde de Nice,5.0,20.0,18.0,24000.0,60.0,20.0,0.3
Vegetable,Ronde de Piacenza,5.0,18.0,15.0,3600.0,60.0,20.0,0.25
Fruit,Ronde de Valence,3.0,21.0,18.0,36000.0,65.0,10.0,0.3
Vegetable,ropreco paste,5.0,25.0,20.0,18000.0,70.0,50.0,0.2
Fruit,Rose de Berne,2.0,18.0,15.0,3000.0,60.0,20.0,0.3
Tomato,Rosso Duemila,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Rosso Sicilian,5.0,25.0,22.0,6000.0,60.0,20.0,0.4
Flowering Plant,Rostov,10.0,25.0,20.0,6000.0,60.0,50.0,0.4
Vegetable,Rotunda Gogoshari,7.5,22.5,20.0,25200.0,60.0,20.0,0.3
Flowering plant,Rou,10.0,25.0,20.0,3000.0,70.0,50.0,0.3
Flowering Plant,Rouge,5.0,25.0,20.0,6000.0,60.0,30.0,0.4
Flowering plant,Rouge Carmin,7.5,22.5,20.0,25200.0,50.0,30.0,0.25
Fruit,Rouge de Cavaillon,5.0,20.0,18.0,28800.0,60.0,10.0,0.3
Vegetable,Rouge de Namur,5.0,15.0,18.0,3600.0,70.0,20.0,0.3
Vegetable,Rouge de Russie,5.0,20.0,18.0,12000.0,60.0,20.0,0.3
Flowering plant,Round Mauve,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Flowering Plant,Royal Golden,5.0,25.0,20.0,3000.0,70.0,20.0,0.3
Flower,Royal Purple,5.0,20.0,18.0,6000.0,60.0,50.0,0.4
Flowering Plant,Rubin,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Flower,Ruby Gold,5.0,22.0,18.0,6000.0,60.0,20.0,0.25
Vegetable,Ruby King,5.0,20.0,15.0,6000.0,60.0,30.0,0.4
Vegetable,Rugoso di Cosenza,5.0,20.0,18.0,36000.0,70.0,20.0,0.3
Vegetable,Russian Giant,5.0,18.0,15.0,60000.0,60.0,50.0,0.3
Fruit,Russian Persimmon,5.0,18.0,15.0,3600.0,50.0,30.0,0.3
Ornamental Plant,Rutgers Obsession,7.5,21.5,17.5,25200.0,50.0,20.0,0.4
Ornamental,Ruvien,5.0,25.0,20.0,3600.0,60.0,30.0,0.3
Blond,S Blond,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Flowering Plant,S Dream,10.0,25.0,20.0,5000.0,60.0,50.0,0.4
Fruit,S Early Orange,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,S German Green,7.5,20.0,15.0,20000.0,50.0,50.0,0.30000000000000004
Fruit,S Grape,5.0,18.0,15.0,600.0,60.0,20.0,0.3
Herbaceous plant,S hoof,10.0,25.0,20.0,6000.0,70.0,50.0,0.3
Herb,S Paste,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Flowering Plant,S Purple,10.0,25.0,20.0,18000.0,60.0,50.0,0.4
Annual Flower,S Purple Haze,5.0,22.0,18.0,6000.0,60.0,10.0,0.3
Round,S Round,10.0,25.0,20.0,300.0,70.0,50.0,0.2
Ornamental Plant,S Snowflakes,5.0,20.0,18.0,36000.0,60.0,10.0,0.3
Perennial,S Wild Cherry,5.0,20.0,18.0,5000.0,60.0,50.0,0.3
Flowering Plant,Saint Pierre,10.0,25.0,20.0,6000.0,70.0,50.0,0.3
Vegetable,Salt and Pepper,5.0,20.0,15.0,3600.0,60.0,20.0,0.4
Vegetable,San Marzano,5.0,20.0,18.0,18000.0,60.0,50.0,0.25
Tomato,San Marzano Redorta,3.0,22.0,18.0,6000.0,60.0,20.0,0.4
Flowering Plant,Sandul Moldovan,5.0,25.0,20.0,6000.0,60.0,15.0,0.3
Fruit Tree,Santa Rainier,4.0,26.0,18.0,36000.0,60.0,20.0,0.3
Vegetable,Santiam,3.0,18.0,15.0,12000.0,60.0,20.0,0.3
Herb,Sarriette des Montagnes,3.0,18.0,15.0,36000.0,60.0,20.0,0.3
Shrub,Satsuki Madori,5.0,20.0,18.0,18000.0,60.0,50.0,0.5
Climbing vine,Scarlet Creeper,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Perennial Herb,Schizonepeta tenuifolia,3.5,22.5,20.0,19000.0,50.0,20.0,0.25
Flowering plant,Sensation,5.0,25.0,20.0,600.0,60.0,50.0,0.3
Shintokiwa,Shintokiwa,5.0,24.0,20.0,36000.0,60.0,20.0,0.4
Flowering Plant,Shirazi,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Flowering Plant,Shirley,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Flowering Plant,Shiva,12.3,25.6,22.1,3600.0,60.0,50.0,0.35
Herb,Siam Queen Thai,10.0,25.0,22.0,3600.0,70.0,50.0,0.4
Perennial,Siberia,5.0,-5.0,2.0,5000.0,60.0,20.0,0.3
Vegetable,Sibirskiy Skorospelyi,2.0,18.0,15.0,18000.0,60.0,15.0,0.4
Flowering Plant,Sienne,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Flowering Plant,Sikkim Seed,10.0,20.0,15.0,18000.0,70.0,50.0,0.3
Leafy Plant,Silk Leaf,5.0,25.0,20.0,36000.0,60.0,40.0,0.3
Vegetable,Silver Slicer,5.0,22.0,18.0,3600.0,60.0,20.0,0.4
Ornamental Plant,Skyreacher,3.0,21.5,17.5,20000.0,50.0,75.0,0.4
Vegetable,Slim Jim,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Slovenian Black,5.0,20.0,18.0,3600.0,60.0,30.0,0.3
Flowering plant,Small Sugar,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering Plant,Snow White,5.0,20.0,15.0,600.0,60.0,20.0,0.3
Perennial,Snowball peony,3.5,17.0,15.0,26000.0,50.0,15.0,0.30000000000000004
Flowering plant,Sol Gold,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Solar Flare,10.0,25.0,20.0,6000.0,60.0,50.0,0.4
Flowering Plant,Sonata White,10.0,20.0,15.0,6000.0,60.0,50.0,0.3
Vegetable,Soo Yoh Long,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Flowering Plant,Soraya,5.0,25.0,20.0,36000.0,60.0,10.0,0.4
Annual,Sparkler Marigold,5.0,25.0,20.0,18000.0,60.0,10.0,0.3
Fruit,Speckled Apple,5.2,25.5,21.7,24000.0,60.0,20.0,0.35
Vegetable,Speckled Roman,5.0,25.0,20.0,8000.0,60.0,20.0,0.3
Flowering Plant,Star of Yelta,5.0,20.0,18.0,600.0,60.0,100.0,0.3
Vegetable,Stocky Golden Roaster,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Stocky Red Roaster,5.0,20.0,18.0,36000.0,60.0,20.0,0.4
Fruit,Strawberry Crown,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Vegetable,Striato Pugliese,5.0,20.0,18.0,6000.0,70.0,30.0,0.4
Flowering Plant,Striped Cavern,10.0,25.0,20.0,3600.0,60.0,50.0,0.3
Vegetable,Striped German,5.0,20.0,18.0,6000.0,60.0,30.0,0.3
Fruit,Submarine Blush Cherry,5.0,25.0,20.0,6000.0,60.0,10.0,0.4
Sugar Beet,Sucrin de Tours,5.0,15.0,10.0,18000.0,70.0,20.0,0.3
Vegetable,Sucrine du Berry,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Fruit,Sugar Baby,5.0,25.0,22.0,3600.0,60.0,20.0,0.5
Fruit Tree,Summer Cider Apricot,5.0,25.0,20.0,3600.0,60.0,20.0,0.4
Annual Flower,Sunbow Mix,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Sundrops,5.0,20.0,18.0,6000.0,50.0,10.0,0.3
Flowering Plant,Super Shepherd,10.0,25.0,20.0,6000.0,60.0,20.0,0.4
Flowering Plant,Super Snow White,7.5,22.5,20.0,42000.0,60.0,20.0,0.4
Vegetable,Superschmelz,5.0,20.0,18.0,18000.0,60.0,10.0,0.3
Flowering plants,Supreme Mix,7.5,22.5,20.0,3000.0,60.0,20.0,0.4
Vegetable,Suptol,5.0,25.0,20.0,36000.0,60.0,20.0,0.3
Flowering plant,Sweet Casady,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Flowering Plant,Sweet Chocolate,5.0,25.0,20.0,24000.0,60.0,20.0,0.3
Annual,Sweet Dani,2.5,25.0,20.0,6000.0,70.0,10.0,0.4
Vegetable,Sweet Dumpling,5.0,25.0,20.0,6000.0,60.0,10.0,0.3
Flowering Plant,Sweet Granite,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Sweet Keeper,5.0,20.0,18.0,3600.0,60.0,100.0,0.3
Vegetable,Sweet Marketmore,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Perennial Flower,Sweet Siberian,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Vegetable,Syrian Stuffing,5.0,25.0,20.0,60000.0,60.0,20.0,0.3
Vegetable,Tabasco Short Yellow,5.0,25.0,20.0,3600.0,70.0,50.0,0.3
Vegetable,Table Queen,5.0,22.0,18.0,7200.0,60.0,20.0,0.3
Flowering Plant,Tal,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering Plant,Tale,10.0,25.0,20.0,3600.0,70.0,50.0,0.5
Vegetable,Tall Green,10.0,25.0,20.0,3600.0,60.0,50.0,0.4
Vegetable,Tall Utah,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Tampes,5.0,28.0,25.0,6000.0,60.0,50.0,0.3
Fruit,Tangerine,5.0,20.0,18.0,6000.0,70.0,50.0,0.3
Flowering Plant,Tanja,5.0,25.0,20.0,6000.0,60.0,50.0,0.3
Flowering Plant,Taxi Yellow,5.0,25.0,20.0,30000.0,60.0,50.0,0.4
Teaurenard,Teaurenard Seed,10.0,25.0,20.0,3600.0,60.0,50.0,0.3
Ornamental plant,Tequila Sunrise,5.0,25.0,20.0,3600.0,60.0,30.0,0.3
Flowering Plant,Texas Indian,3.0,25.0,20.0,3600.0,60.0,30.0,0.3
Ornamental Plant,Thai Five Star,5.0,25.0,22.0,3600.0,60.0,10.0,0.3
Fruit,Thai Lemon,10.0,25.0,28.0,6000.0,60.0,100.0,0.3
Vegetable,Thai Long Green,5.0,25.0,20.0,3000.0,70.0,50.0,0.3
Vegetable,Thai Long Purple,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Vegetable,Thai Round Green,10.0,26.0,28.0,6000.0,70.0,50.0,0.35
Vine,Thompson Seedless Green Grape,2.0,20.0,18.0,6000.0,60.0,20.0,0.25
Herb,Tia To,5.0,25.0,20.0,3000.0,70.0,50.0,0.4
Vegetable,Tiffen Mennonite,7.5,21.5,17.5,26000.0,55.0,30.0,0.30000000000000004
Flowering Plant,Tiger Mix,10.0,22.0,18.0,3600.0,60.0,20.0,0.4
Tomato,Tiger Tom,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Vegetable,Tigerella,10.0,25.0,20.0,6000.0,60.0,50.0,0.4
Flowering Plant,Tiges Rouges,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Herb,Tive,10.0,25.0,20.0,36000.0,50.0,50.0,0.3
Flowering Plant,Tives,10.0,25.0,20.0,5000.0,60.0,50.0,0.3
Flowering Plant,Toiles Cherokee Strain,5.0,20.0,22.0,600.0,50.0,30.0,0.25
Tomato,Tommy Toe,5.0,22.0,18.0,6000.0,60.0,10.0,0.4
Fruit,Tondino di Manduria,5.0,25.0,20.0,28800.0,60.0,20.0,0.3
Flowering plant,Tonnelet,5.0,25.0,20.0,5000.0,70.0,50.0,0.3
Vegetable,Topepo Rosso,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Perennial,Torch,5.0,25.0,20.0,18000.0,60.0,20.0,0.3
Flowering Plant,Transformer,5.0,25.0,20.0,3600.0,60.0,10.0,0.4
Perennial,Trero,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Flowering Plant,Tricolore,5.0,25.0,22.0,6000.0,60.0,20.0,0.4
Flowering Plant,Tuffy,5.0,25.0,20.0,18000.0,60.0,20.0,0.3
Herb,Tulsi Kali,5.0,25.0,20.0,18000.0,60.0,50.0,0.4
Herb,Tulsi Rama,5.0,25.0,28.0,3600.0,60.0,30.0,0.3
Herb,Tulsi Vana,5.0,25.0,20.0,3600.0,60.0,100.0,0.4
Vegetable,Turban Turc,5.0,25.0,20.0,30000.0,60.0,20.0,0.3
Annual Flower,Uf Blanc,5.0,25.0,20.0,6000.0,60.0,10.0,0.3
Herbaceous plant,uf des vertus,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
 ,uf hongrois,10.0,25.0,20.0,600.0,70.0,50.0,0.3
Flowering plant,Uf Jaune,5.0,20.0,18.0,18000.0,60.0,10.0,0.3
Fruit Plant,UF Orange,5.0,25.0,20.0,3600.0,70.0,10.0,0.4
Flowering Plant,UF Rostova,5.0,25.0,20.0,6000.0,60.0,20.0,0.4
Flowering Plant,UF Sweet Heart,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
 ,uf yasha yougoslavian,5.110122699386503,20.035663478047585,16.87704194260486,8931.591165644171,61.68866535819431,26.998773006134968,0.4054513122393916
Fruit Tree,Ukrainian Pear,5.0,18.0,15.0,3600.0,70.0,20.0,0.25
Desert Plant,Uncle David Dakota Dessert,0.0,30.0,35.0,3600.0,20.0,0.0,0.2
Fruit,Valencia,5.0,25.0,22.0,3600.0,60.0,20.0,0.3
Fruit,Valenciano,5.0,25.0,22.0,3600.0,60.0,30.0,0.3
Plant,Variegated,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering Plant,Velvet,5.0,25.0,20.0,3600.0,70.0,50.0,0.3
Perennial,Venice Pink,5.0,22.0,18.0,6000.0,70.0,20.0,0.4
Indoor Plant,Verde Claro,5.0,22.0,20.0,3600.0,60.0,10.0,0.4
Vegetable,Verde di Macerata,5.0,20.0,18.0,3600.0,60.0,20.0,0.25
Flowering Plant,Verna Orange,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering plant,Versailles,5.0,22.0,18.0,3600.0,60.0,50.0,0.3
Climbing Plant,Vert Grimpant,5.0,20.0,15.0,600.0,60.0,10.0,0.2
Flowering plant,Vert Petit de Paris,12.5,20.0,17.5,19000.0,50.0,55.0,0.35
Flowering Plant,Verte,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Flowering plant,Vieille France,5.0,20.0,18.0,6000.0,70.0,20.0,0.4
Perennial,Violet du Laos,5.0,24.0,22.0,3600.0,70.0,20.0,0.35
Flowering Plant,Violet Jasper,5.0,18.0,20.0,3600.0,60.0,30.0,0.3
Ornamental plant,Violet Sparkle,5.0,22.0,20.0,6000.0,60.0,20.0,0.4
Flowering plant,Violette de Toulouse,4.5,20.0,15.0,2250.0,50.0,15.0,0.4
Flowering Plant,Violina,5.0,25.0,20.0,60000.0,60.0,20.0,0.3
Tobacco,Virginia Bright Leaf,5.0,25.0,20.0,3600.0,70.0,50.0,0.3
Vegetable,Waltham,5.0,20.0,15.0,3000.0,60.0,15.0,0.4
Leafy Vegetable,Wasabina,2.0,18.0,15.0,6000.0,60.0,10.0,0.3
Fruit,Watermelon Beefsteak,5.0,25.0,20.0,18000.0,60.0,50.0,0.3
Perennial,Western Front,5.0,22.0,18.0,30000.0,60.0,20.0,0.25
Flowering Plant,Whippersnapper,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Flowering Plant,White Linen,5.0,20.0,18.0,6000.0,60.0,10.0,0.4
Vegetable,White Mammoth,5.0,25.0,20.0,5000.0,70.0,20.0,0.4
Leafy vegetable,White Potato Leaf,5.0,20.0,15.0,18000.0,60.0,20.0,0.4
Flowering plant,White Queen,5.0,20.0,25.0,600.0,60.0,50.0,0.3
Flowering Plant,White Wonder,7.5,22.5,20.0,6500.0,60.0,25.0,0.4
