Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Flowering Plant,Papante,48.0,"[""NPK fertilizer"",""Compost""]",4.0,1.0,papante,
Herbaceous plant,Pastel des teinturiers,48.0,"[""NPK"",""Compost""]",4.0,0.5,pastel des teinturiers,
Flowering Plant,Pastel Sleeves,24.0,"[""NPK"",""Organic compost""]",4.0,1.0,pastel sleeves,
Vegetable,Patisson Blanc,48.0,"[""NPK 10-10-10"",""Compost""]",2.0,0.5,patisson blanc,
Fruit,Pattison Orange,48.0,"[""NPK 20-20-20"",""Organic compost""]",4.0,1.0,patisson orange,
Vegetable,Paul Robeson,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,1.0,paul robeson,
Vegetable,Peacevine,48.0,"[""abx"",""afn""]",2.0,1.0,peacevine,
Flower,Peach Blow Sutton,36.0,"[""NPK 10-10-10"",""Organic Compost""]",5.0,1.5,peach blow sutton,
Flowering Plant,Peasant,48.0,"[""10-10-10"",""15-15-15""]",4.0,2.0,peasant,
Vegetable,Pepperoncini,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,pepperoncini,
Perennial,Perestroika,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,perestroika,
Flower,Persian Jewels Mix,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,persian jewels mix,
Fruit Tree,Persimmon,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,1.0,persimmon,
Flowering Plant,Persuasion,48.0,"[""Phosphorous"",""Potassium"",""Nitrogen""]",4.0,1.0,persuasion,
Vegetable,Peshawar,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,peshawar,
Ornamental Plant,Petch Siam,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,petch siam,
Fruit,Petit Gris de Rennes,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,petit gris de rennes,
Flowering Plant,Petit Marseillais,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,petit marseillais,
Herb,Petites Feuilles,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"petites
feuilles",
Leafy Vegetable,Petites Feuilles,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,petites feuilles,
Flowering plant,Petits Becs,24.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,petits becs,
Fruit,Petits Fruits,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,petits fruits,
Petros,Petros Seed,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,2.0,petros,
Flowering Plant,Petrowski Early Round Yellow,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,"petrowski early round
yellow",
Vegetable,Piennolo del Vesuvio,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,piennolo del vesuvio,
Fruit Plant,Pinard fraise,24.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,pinard fraise,
Vegetable,Ping Tung,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,ping tung,
Tomato,Pink Berkeley Tie Dye,24.0,"[""NPK"",""Compost""]",2.0,6.0,pink berkeley tie dye,
Flowering plant,Pink Furry Boar,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,1.0,pink furry boar,
Flowering Plant,Pleine de Naples,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.5,pleine de naples,
Flowering,Podland Pink,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,podland pink,
Vegetable,Pointu de Chateaurenard,48.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,pointu de chateaurenard,
Fruit,Poire Jaune,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,poire jaune,
Vegetable,Potato,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,6.0,potager de vilvoorde,
Vegetable,Potimarron Red Kuri,48.0,"[""Organic compost"",""Slow-release fertilizer""]",5.0,2.0,potimarron red kuri,
Vegetable,Potimarron Solor,60.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,1.5,potimarron solor,
Cucurbita,Potiron Bleu de Hongrie,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,potiron bleu de hongrie,
Vegetable,Potiron Vert Olive,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,potiron vert olive,
Vegetable,Precocibec,24.0,"[""NPK 10-10-10"",""Compost""]",2.0,1.0,precocibec,
Flowering Perennial,Pride of Wisconsin,48.0,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,1.0,pride of wisconsin,
Flowering Plant,Prilep,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,prilep,
Flower,Primary Colors,48.0,"[""NPK"",""Compost""]",4.0,0.5,primary colors,
Tomato,Principe Borghese,36.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,1.0,principe borghese,
Fruit,Prune Noire,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",8.0,6.0,prune noire,
Fruit Tree,Prune Rouge,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,2.0,prune rouge,
Flowering Plant,Purple Ball,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,purple ball,
Flowering Plant,Purple Cape,24.0,"[""All-Purpose Fertilizer"",""Organic Compost""]",4.0,0.5,purple cape,
Herb,Purple Dark Opal,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,purple dark opal,
Vegetable,Purple de milpa,24.0,"[""Compost"",""Organic fertilizer""]",4.0,2.0,purple de milpa,
Vegetable,Purple Russian,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,purple russian,
Flowering plant,Queen of Sheba,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,queen of sheba,h
Flowering Plant,Quetzali,48.0,"[""NPK"",""Compost""]",4.0,1.0,quetzali,
Flowering Plant,Queue de Renard Blanche,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,queue de renard blanche,
Fruit,Raisin Vert,48.0,"[""Organic compost"",""NPK fertilizers""]",4.0,1.0,raisin vert,
Flowering Plant,Rave de Margeride,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,rave de margeride,
Perennial,Rave de Treignac,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,6.0,rave de treignac,
Vegetable,Red Brandywine,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,red brandywine,
Flowering Plant,Red Bull,48.0,"[""NPK"",""Compost""]",4.0,2.0,red bull,
Ornamental Plant,Red Burgundy,24.0,"[""Organic compost"",""Slow-release granules""]",4.0,0.5,red burgundy,
Fruit Plant,Red Centiflor Cherry,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,red centiflor cherry,
Tree,Red Cluster Pear Hypertress,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,6.0,red cluster pear hypertress,
Fruit Plant,Red Fig,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6.0,2.0,red fig,
Shrub,Red Robin,48.0,"[""NPK 10-10-10"",""Organic compost""]",8.0,0.5,red robin,
Flowering Plant,Red Scarlet,48.0,"[""NPK"",""Compost""]",4.0,1.0,red scarlet,
Perennial,Red Siberian,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,red siberian,
Ornamental Plant,Red Spider,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,red spider,
Flowering Plant,Red Ursa,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,red ursa,
Vegetable,Red Warty Thing,48.0,"[""NPK"",""Compost""]",3.0,1.0,red warty thing,
Tomato,Red Zebra,48.0,"[""NPK"",""Compost""]",2.0,0.5,red zebra,
Flowering Plant,Redcrest,48.0,"[""NPK"",""Organic compost""]",4.0,1.0,redcrest,
Flowering plant,Reif Red,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,"reif
red",
Vegetable,Relleno Rouge,48.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,2.0,relleno rouge,
 ,reux,48.0,"[""abx"",""afn""]",4.0,2.0,reux,
Ornamental plant,Rheinau Gold,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,rheinau gold,h
Ornamental Plant,Ring of Fire,12.0,"[""All-purpose fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,ring of fire,h
Flowering Plant,Rio Grande,48.0,"[""NPK"",""Compost"",""Bone Meal""]",4.0,0.5,rio grande,
Fruit,Rocky Ford Green Flesh,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,rocky ford green flesh,
Flowering Plant,Roi Humbert,48.0,"[""Organic fertilizer"",""Slow-release fertilizer""]",4.0,0.5,roi humbert,
Vegetable,Roma Paste,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,roma paste,
Flower,Roman Candle,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,roman candle,
Vegetable,Ronde de Nice,48.0,"[""Compost"",""Manure""]",2.0,0.5,ronde de nice,d
Vegetable,Ronde de Piacenza,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,ronde de piacenza,
Fruit,Ronde de Valence,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,ronde de valence,
Vegetable,ropreco paste,24.0,"[""nitrogen"",""phosphorus"",""potassium""]",2.0,1.0,ropreco paste,
Fruit,Rose de Berne,48.0,"[""Organic compost"",""NPK fertilizer""]",4.0,0.5,rose de berne,
Tomato,Rosso Duemila,48.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,1.0,rosso duemila,
Vegetable,Rosso Sicilian,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,1.0,rosso sicilian,
Flowering Plant,Rostov,48.0,"[""NPK"",""Compost""]",4.0,1.0,rostov,
Vegetable,Rotunda Gogoshari,60.0,"[""NPK 10-10-10"",""Compost""]",5.0,1.5,rotunda gogoshari,
Flowering plant,Rou,48.0,"[""NPK"",""Compost""]",4.0,1.0,rou,h
Flowering Plant,Rouge,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,rouge,
Flowering plant,Rouge Carmin,24.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,1.0,rouge carmin,
Fruit,Rouge de Cavaillon,60.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,rouge de cavaillon,d
Vegetable,Rouge de Namur,48.0,"[""NPK fertilizer"",""Organic compost"",""Fish emulsion""]",4.0,1.0,rouge de namur,
Vegetable,Rouge de Russie,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,rouge de russie,
Flowering plant,Round Mauve,48.0,"[""nitrogen-based"",""phosphorus-based""]",4.0,1.0,round mauve,
Flowering Plant,Royal Golden,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,royal golden,
Flower,Royal Purple,24.0,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,royal purple,
Flowering Plant,Rubin,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,rubin,
Flower,Ruby Gold,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,ruby gold,
Vegetable,Ruby King,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",3.0,0.5,ruby king,
Vegetable,Rugoso di Cosenza,48.0,"[""Manure"",""Compost""]",4.0,2.0,rugoso di cosenza,
Vegetable,Russian Giant,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,russian giant,
Fruit,Russian Persimmon,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,russian persimmon,
Ornamental Plant,Rutgers Obsession,36.0,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",5.0,0.5,rutgers obsession,
Ornamental,Ruvien,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,ruvien,
Blond,S Blond,48.0,"[""Fertilizer A"",""Fertilizer B""]",4.0,2.0,s blond,
Flowering Plant,S Dream,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2.0,1.0,s dream,
Fruit,S Early Orange,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,s early orange,
Vegetable,S German Green,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,0.5,s german green,
Fruit,S Grape,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,s grape,h
Herbaceous plant,S hoof,24.0,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer"",""potassium-based fertilizer""]",4.0,1.0,s hoof,
Herb,S Paste,48.0,"[""NPK"",""Compost""]",4.0,1.0,s paste,
Flowering Plant,S Purple,24.0,"[""NPK"",""Compost""]",4.0,2.0,s purple,
Annual Flower,S Purple Haze,48.0,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",4.0,0.5,s purple haze,
Round,S Round,48.0,"[""abx"",""afn""]",4.0,1.0,s round,h
Ornamental Plant,S Snowflakes,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,s snowflakes,
Perennial,S Wild Cherry,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,s wild cherry,
Flowering Plant,Saint Pierre,24.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,2.0,saint pierre,
Vegetable,Salt and Pepper,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,salt and pepper,
Vegetable,San Marzano,24.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,san marzano,
Tomato,San Marzano Redorta,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,san marzano redorta,
Flowering Plant,Sandul Moldovan,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,sandul moldovan,
Fruit Tree,Santa Rainier,48.0,"[""NPK"",""Compost""]",6.0,2.0,santa rainier,
Vegetable,Santiam,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,1.0,santiam,
Herb,Sarriette des Montagnes,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,sarriette des montagnes,
Shrub,Satsuki Madori,72.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,satsuki madori,
Climbing vine,Scarlet Creeper,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,scarlet creeper,
Perennial Herb,Schizonepeta tenuifolia,60.0,"[""Organic compost"",""Balanced NPK fertilizer""]",5.0,0.375,schizonepeta tenuifolia,
Flowering plant,Sensation,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,sensation,h
Shintokiwa,Shintokiwa,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,shintokiwa,
Flowering Plant,Shirazi,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,shirazi,
Flowering Plant,Shirley,24.0,"[""NPK"",""Compost"",""Organic Fertilizer""]",4.0,0.5,shirley,
Flowering Plant,Shiva,24.0,"[""NPK"",""Organic compost""]",4.0,1.0,shiva,
Herb,Siam Queen Thai,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,siam queen thai,
Perennial,Siberia,48.0,"[""NPK"",""Compost""]",4.0,2.0,siberia,
Vegetable,Sibirskiy Skorospelyi,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,1.0,"sibirskiy
skorospelyi",
Flowering Plant,Sienne,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,sienne,
Flowering Plant,Sikkim Seed,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,sikkim,h
Leafy Plant,Silk Leaf,24.0,"[""Nitrogen-based fertilizer"",""Organic compost""]",4.0,1.0,silk leaf,
Vegetable,Silver Slicer,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,silver slicer,
Ornamental Plant,Skyreacher,60.0,"[""NPK 10-10-10"",""Organic Compost""]",5.0,0.75,skyreacher,
Vegetable,Slim Jim,24.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2.0,1.0,slim jim,
Vegetable,Slovenian Black,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,1.0,slovenian black,
Flowering plant,Small Sugar,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,"small
sugar",
Flowering Plant,Snow White,48.0,"[""NPK 15-15-15"",""Organic compost""]",4.0,1.0,snow white,h
Perennial,Snowball peony,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,1.5,snowball peony,
Flowering plant,Sol Gold,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,2.0,sol gold,
Flowering plant,Solar Flare,48.0,"[""NPK"",""compost""]",4.0,1.0,solar flare,
Flowering Plant,Sonata White,24.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,sonata white,
Vegetable,Soo Yoh Long,48.0,"[""NPK fertilizer"",""Organic compost""]",2.0,1.0,soo yoh long,
Flowering Plant,Soraya,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,soraya,
Annual,Sparkler Marigold,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,sparkler marigold,
Fruit,Speckled Apple,48.0,"[""NPK 10-10-10"",""Bone Meal"",""Compost""]",4.0,2.0,speckled apple,
Vegetable,Speckled Roman,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,speckled roman,
Flowering Plant,Star of Yelta,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,star of yelta,h
Vegetable,Stocky Golden Roaster,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",2.0,1.0,stocky golden roaster,
Vegetable,Stocky Red Roaster,48.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4.0,1.0,stocky red roaster,
Fruit,Strawberry Crown,24.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4.0,1.0,strawberry crown,
Vegetable,Striato Pugliese,48.0,"[""NPK fertilizer""]",4.0,1.0,striato pugliese,
Flowering Plant,Striped Cavern,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,striped cavern,
Vegetable,Striped German,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,striped german,
Fruit,Submarine Blush Cherry,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,submarine blush cherry,
Sugar Beet,Sucrin de Tours,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,sucrin de tours,
Vegetable,Sucrine du Berry,48.0,"[""Compost"",""Nitrogen-rich fertilizer""]",2.0,1.0,sucrine du berry,
Fruit,Sugar Baby,48.0,"[""NPK"",""Compost""]",4.0,1.0,sugar baby,
Fruit Tree,Summer Cider Apricot,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,1.0,summer cider apricot,
Annual Flower,Sunbow Mix,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,sunbow mix,
Perennial,Sundrops,24.0,"[""NPK"",""Organic compost""]",4.0,1.0,sundrops,
Flowering Plant,Super Shepherd,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,super shepherd,
Flowering Plant,Super Snow White,48.0,"[""NPK fertilizer"",""Organic compost""]",5.0,1.0,super snow white,
Vegetable,Superschmelz,24.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,1.0,superschmelz,
Flowering plants,Supreme Mix,36.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.75,supreme mix,
Vegetable,Suptol,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,suptol,
Flowering plant,Sweet Casady,48.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,2.0,sweet casady,
Flowering Plant,Sweet Chocolate,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,sweet chocolate,
Annual,Sweet Dani,48.0,"[""10-10-10"",""5-10-5""]",4.0,1.0,sweet dani,
Vegetable,Sweet Dumpling,48.0,"[""NPK"",""Compost"",""Organic fertilizer""]",2.0,2.0,sweet dumpling,
Flowering Plant,Sweet Granite,48.0,"[""NPK"",""Compost""]",4.0,2.0,sweet granite,
Flowering plant,Sweet Keeper,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,sweet keeper,h
Vegetable,Sweet Marketmore,48.0,"[""NPK"",""Compost"",""Bone Meal""]",2.0,1.0,sweet marketmore,
Perennial Flower,Sweet Siberian,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.5,sweet siberian,
Vegetable,Syrian Stuffing,24.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,2.0,syrian stuffing,
